Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"Two  small  silver
Bowls",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharrafarraf,1/8/2002,5000,0,Yes,Yes
"One Pilot Pen with
ink",Pen,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,1/8/2002,3500,0,Yes,Yes
One silver vase,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,1/9/2002,7500,0,Yes,Yes
"One  (decoration)
folding Screen",Decoration Pieces,"Mr.  Abdul Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,1/15/2002,2200,0,Yes,Yes
"One  Decoration
Piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,1/22/2002,2000,0,Yes,Yes
One gown,Clothes,"Mr.  Ahmed  Waqar,  Secretary
Privatization Commission",Gen. Musharraf,1/26/2002,2500,0,Yes,Yes
"One  Coffee  Set
(07 pcs)",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,1/28/2002,1800,0,Yes,Yes
"Art  glass
decoration piece",Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,2/1/2002,1200,0,Yes,Yes
"One  leather  black
colour wallet",Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor  to  Finance
Minister",Gen. Musharraf,2/4/2002,150,0,Auctioned,"Auctioned for
Rs.500/-"
"One  Pen  Stand
fitted with clock",Pen,"Mr.  Altaf  M.  Saleem,  Minster  for
Privatization",Gen. Musharraf,2/6/2002,550,0,Auctioned,"Auctioned for
Rs.305/-"
"One  small  silver
ice cream cup",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2/8/2002,1350,0,Yes,Yes
"One  piece  red
colour  Afghani
Handmade  carpet
(small size)",Carpet,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2/8/2002,6500,0,Yes,Yes
One Insignia,,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  Hand
Painting",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,600,0,Yes,Yes
"One  Vase  China
Clay",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,500,0,Yes,Yes
"One  Metallic
Plate  Embossed
Scenery",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,6000,0,Yes,Yes
"a.  Two  Wall
hangings
b.  One  small
Piano
c.  Two  small
wooden dolls",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  Book
Masjid-ul-
Hassan",,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  Metallic
Bowl  with
wooden stand",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  Metallic
small plate",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
"One  Tasbih  in
Wooden Box",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2/19/2002,0,0,Yes,Yes
