,Gift_detail,Item_category,Recipient_name,Affiliation,Date,Assessed_value,Retention_cost,Retained,Remarks
0,Two  small  silver Bowls,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharrafarraf,2002-01-08,5000.0,0.0,Yes,Yes
1,One Pilot Pen with ink,Pen,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-01-08,3500.0,0.0,Yes,Yes
2,One silver vase,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,2002-01-09,7500.0,0.0,Yes,Yes
3,One  (decoration) folding Screen,Decoration Pieces,"Mr.  Abdul Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-01-15,2200.0,0.0,Yes,Yes
4,One  Decoration Piece,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-01-22,2000.0,0.0,Yes,Yes
5,One gown,Clothes,"Mr.  Ahmed  Waqar,  Secretary Privatization Commission",Gen. Musharraf,2002-01-26,2500.0,0.0,Yes,Yes
6,One  Coffee  Set (07 pcs),Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-01-28,1800.0,0.0,Yes,Yes
7,Art  glass decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,2002-02-01,1200.0,0.0,Yes,Yes
8,One  leather  black colour wallet,Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor  to  Finance Minister",Gen. Musharraf,2002-02-04,150.0,0.0,Auctioned,Auctioned for Rs.500/-
9,One  Pen  Stand fitted with clock,Pen,"Mr.  Altaf  M.  Saleem,  Minster  for Privatization",Gen. Musharraf,2002-02-06,550.0,0.0,Auctioned,Auctioned for Rs.305/-
10,One  small  silver ice cream cup,Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-02-08,1350.0,0.0,Yes,Yes
11,One  piece  red colour  Afghani Handmade  carpet (small size),Carpet,"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",Gen. Musharraf,2002-02-08,6500.0,0.0,Yes,Yes
13,One  Hand Painting,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,600.0,0.0,Yes,Yes
14,One  Vase  China Clay,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,500.0,0.0,Yes,Yes
15,One  Metallic Plate  Embossed Scenery,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,6000.0,0.0,Yes,Yes
16,a.  Two  Wall hangings b.  One  small Piano c.  Two  small wooden dolls,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
18,One  Metallic Bowl  with wooden stand,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
19,One  Metallic small plate,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
20,One  Tasbih  in Wooden Box,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
21,Ornament Necklace Set (03 Pieces),Jewellery/Accessories,"Dr.  Atta-ur- Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
22,One  metallic vase,Decoration Pieces,Minister  for  Petroleum  &  Natural Resources,Gen. Musharraf,2002-02-19,850.0,0.0,Yes,Yes
23,One  cufflinks Insignia on it,Jewellery/Accessories,Minister  for Petroleum  &  Natural Resources,Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
24,One  set  of Cufflinks,Jewellery/Accessories,"Mr.  Altaf  M.  Saleem,  Minister  for Privatization",Gen. Musharraf,2002-02-20,0.0,0.0,Auctioned,Auctioned for Rs.150/-
25,a.  Statue  of Golden Dragon b. One wall painting,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister for Finance",Gen. Musharraf,2002-02-26,26200.0,0.0,Auctioned,Auctioned for Rs.150/-
26,a.  Cotton  Bed Spread b. One Painting,Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-28,1800.0,0.0,Yes,Yes
27,Electronic  Prayer Time Calendar,Tech,"Dr.  Atta-ur-Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-28,8000.0,0.0,Yes,Yes
28,Metallic  Plate with  Insignia  of the  Chinese Academy  of Sciences,Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for Science & Technology",Gen. Musharraf,2002-02-28,0.0,0.0,Yes,Yes
29,One  plastic  box containing  one carpet,Carpet,"Mr.  Usman  Aminuddin,  Minister  for Petroleum & Natural Resources",Gen. Musharraf,2002-03-02,13000.0,450.0,Yes,Yes
30,Jewellary  box made of silver,Jewellery/Accessories,"Justice  Sh.  Riaz  Ahmad,  Acting President of Pakistan",Judiciary,2002-03-06,5500.0,0.0,Yes,Yes
31,Kehwa  set  (24 pcs),Crockery,"Justice  Sh.  Riaz  Ahmad,  Acting President of Pakistan",Judiciary,2002-03-06,4500.0,0.0,Yes,Yes
32,One leather bag,Bags,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-07,1800.0,0.0,Yes,Yes
33,One  Jewellery box,Jewellery/Accessories,"Begum  General  Parvez  Musharraf, Chief Executive of Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
34,One shield,Weapons,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-07,2000.0,0.0,Yes,Yes
35,One  revolver clot,Weapons,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-07,72000.0,9300.0,Yes,Yes
36,One flower vase,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-07,4200.0,0.0,Yes,Yes
37,One photo frame,Decoration Pieces,"General  Parvez  Musharraf, President/  Chief  Executive  of Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
